external_id,symbol,side,status,opened_at,closed_at,entry_price,exit_price,quantity,stop_loss,take_profit,initial_risk_amount,gross_pnl,fees,net_pnl,notes
T-0001,GBPUSD,BUY,CLOSED,2025-05-05 08:00,2025-05-05 10:00,1.26122,1.26297,1.0,1.25972,1.26572,150.0,175.5,4.55,170.95,"A+ setup at HTF demand, scaled out at target."
T-0002,GBPUSD,SELL,CLOSED,2025-05-06 08:15,2025-05-07 04:15,1.262,1.26385,1.2,1.2642,1.2587,,-221.76,5.47,-227.23,Stopped out on a news spike; risk was fine.
T-0003,EURUSD,SELL,CLOSED,2025-05-07 08:00,2025-05-08 04:00,1.08492,1.08231,1.0,1.08612,1.08228,120.0,260.4,4.45,255.95,
T-0004,GBPUSD,BUY,CLOSED,2025-05-08 08:15,2025-05-09 12:15,1.26581,1.26867,0.3,1.26361,1.26977,,85.8,1.39,84.41,Trend continuation after pullback to 20 EMA.
T-0005,EURUSD,BUY,CLOSED,2025-05-09 08:00,2025-05-09 17:00,1.08577,1.09017,0.4,1.08377,1.09017,80.0,176.0,2.39,173.61,
T-0006,GBPUSD,SELL,CLOSED,2025-05-12 08:15,2025-05-13 14:15,1.26611,1.2639,0.4,1.26761,1.26236,60.0,88.2,2.06,86.14,
T-0007,EURUSD,SELL,CLOSED,2025-05-13 08:30,2025-05-13 14:30,1.08804,1.09084,0.8,,,224.0,-224.0,4.79,-228.79,"Chased the entry, stop was too tight for the volatility."
T-0008,EURUSD,SELL,CLOSED,2025-05-14 08:15,2025-05-14 10:15,1.08788,1.09135,0.6,1.09068,1.08088,,-208.32,3.56,-211.88,
T-0009,GBPUSD,SELL,CLOSED,2025-05-15 08:30,2025-05-16 04:30,1.25986,1.2537,0.4,1.26266,1.2537,112.0,246.4,2.12,244.28,
T-0010,GBPUSD,SELL,CLOSED,2025-05-15 11:00,2025-05-15 13:00,1.26431,1.26123,0.4,1.26631,1.26031,80.0,123.2,2.18,121.02,
T-0011,GBPUSD,SELL,CLOSED,2025-05-16 08:30,2025-05-16 12:30,1.2621,1.26234,0.8,1.2641,1.2591,160.0,-19.2,3.77,-22.97,
T-0012,EURUSD,BUY,CLOSED,2025-05-19 08:15,2025-05-20 14:15,1.08323,1.08891,0.4,1.08043,1.09023,112.0,227.36,2.11,225.25,
T-0013,EURUSD,BUY,CLOSED,2025-05-20 08:45,2025-05-20 12:45,1.08282,1.08162,0.8,1.08162,1.08582,,-96.0,3.24,-99.24,
T-0014,GBPUSD,BUY,CLOSED,2025-05-21 08:00,2025-05-23 06:00,1.26587,1.27071,1.0,1.26367,1.27071,220.0,484.0,3.83,480.17,"News-driven momentum, respected the plan and let it run."
